wmo,field,ui_value,decoder_ui_api_value,upstream_or_registry_source,upstream_value,independently_calculated_value,transformation,verification,api_generated_at_utc,result
1902844,WMO ID,1902844,1902844,config/metadata/meta.csv:13 [WMO id] | https://data-argo.ifremer.fr/dac/incois/1902844/1902844_meta.nc [PLATFORM_NUMBER],1902844,1902844,Current preset WMO; validate upstream PLATFORM_NUMBER,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Internal ID,123230,123230,"config/metadata/meta.csv:13 [Argos number, else imei]",Not used: local registry only; operational identity not independently verified,123230,"Local PTT, else local IMEI; unavailable stays null",LOCAL SOURCE MATCH,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Float Type,ARVOR,ARVOR,config/metadata/meta.csv + MultiCsvLoader.load_info(wmo).float_type → preset.platform_type | https://data-argo.ifremer.fr/dac/incois/1902844/1902844_meta.nc [PLATFORM_TYPE],ARVOR,ARVOR,Preset platform_type; public metadata cross-check where available,LOCAL + UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Latitude,9.853°N,9.85295,https://data-argo.ifremer.fr/dac/incois/1902844/profiles/R1902844_025.nc [LATITUDE index 0; JULD_LOCATION; POSITION_QC=1],9.85295,9.85295,"Newest paired QC 1/2 position, same source row as longitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Longitude,65.997°E,65.99677,https://data-argo.ifremer.fr/dac/incois/1902844/profiles/R1902844_025.nc [LONGITUDE index 0; JULD_LOCATION; POSITION_QC=1],65.99677,65.99677,"Newest paired QC 1/2 position, same source row as latitude; table rounds to 3 decimals",UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Last Transmission,2026-05-04 07:00 UTCTRAJ LAG,2026-05-04T07:00:15+00:00,https://data-argo.ifremer.fr/dac/incois/1902844/1902844_Rtraj.nc [JULD_LAST_MESSAGE index 12; raw JULD=27882.291840277612],JULD_LAST_MESSAGE[12] = 27882.291840277612 days since 1950-01-01 UTC,2026-05-04T07:00:15+00:00,Maximum valid authoritative per-cycle field; UTC; no measurement/profile substitution,UPSTREAM VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Expected Next Communication,2026-05-14 07:00 UTC,2026-05-14T07:00:15+00:00,https://data-argo.ifremer.fr/dac/incois/1902844/1902844_Rtraj.nc [JULD_LAST_MESSAGE index 12; raw JULD=27882.291840277612],2026-05-04T07:00:15+00:00,2026-05-14T07:00:15+00:00,Last Transmission +10 exact UTC days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,No Communication / elapsed days,139 d,139.61431225684026,https://data-argo.ifremer.fr/dac/incois/1902844/1902844_Rtraj.nc [JULD_LAST_MESSAGE index 12; raw JULD=27882.291840277612],2026-05-04T07:00:15+00:00,139.61431225684026,(API generated_at - Last Transmission)/86400; UI floors completed days,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Communication Status,NO COMMUNICATION 60+ DAYS,NO COMMUNICATION 60+ DAYS,https://data-argo.ifremer.fr/dac/incois/1902844/1902844_Rtraj.nc [JULD_LAST_MESSAGE index 12; raw JULD=27882.291840277612],2026-05-04T07:00:15+00:00,NO COMMUNICATION 60+ DAYS,<=10 ACTIVE; >10 and <60 OVERDUE; >=60 NO COMMUNICATION; no timestamp NO DATA,POLICY CALCULATION VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
1902844,Prof# (highest cycle),25,25,https://data-argo.ifremer.fr/dac/incois/1902844/profiles/ [recognized filenames; distinct positive cycles],25,25,"Maximum recognized published cycle, not available count",UPSTREAM LISTING VERIFIED,2026-09-20T21:44:51.578991+00:00,PASS
